13
score 			 mid selected 					 rules
_____ 	 __________________________________________________ 	 __________________

1.0 	 ['4', '84', '0', '76', '3', '1998', '18', '32'] 	 78 <= Volume < 91 and origin == 3
1.0 	 ['4', '77', '0', '74', '3', '1932', '17', '30'] 	 Volume < 91 and origin == 3
0.9 	 ['4', '107', '0', '77', '3', '2267', '16', '29'] 	 origin == 3
0.82 	 ['4', '86', '0', '76', '2', '2007', '17', '33'] 	 78 <= Volume < 91
0.82 	 ['4', '83', '0', '76', '2', '1978', '17', '32'] 	 Volume < 91
0.33 	 ['5', '122', '0', '77', '3', '2430', '16', '25'] 	 77 <= Model < 78 and origin == 3
0.33 	 ['4', '79', '0', '77', '2', '1825', '19', '40'] 	 78 <= Volume < 91 and 77 <= Model < 78
0.33 	 ['4', '79', '0', '77', '2', '1825', '19', '40'] 	 Volume < 91 and 77 <= Model < 78
0.33 	 ['5', '112', '0', '76', '3', '2288', '17', '27'] 	 76 <= Model < 78 and origin == 3
0.33 	 ['4', '85', '0', '76', '2', '1947', '18', '32'] 	 76 <= Model < 78 and 78 <= Volume < 91
0.33 	 ['4', '85', '0', '76', '3', '1990', '17', '30'] 	 76 <= Model < 78 and 78 <= Volume < 91 and origin == 3
0.33 	 ['4', '85', '0', '76', '2', '1947', '18', '32'] 	 76 <= Model < 78 and Volume < 91
0.33 	 ['4', '85', '0', '76', '3', '1990', '17', '30'] 	 76 <= Model < 78 and Volume < 91 and origin == 3
0.25 	 ['6', '208', '0', '77', '1', '3125', '15', '24'] 	 77 <= Model < 78
0.2 	 ['6', '202', '0', '76', '1', '3098', '16', '23'] 	 76 <= Model < 78
