13
score 			 mid selected 					 rules
_____ 	 __________________________________________________ 	 __________________

1.0 	 ['4', '114', '0', '75', '2', '2503', '17', '28'] 	 origin == 2
0.67 	 ['4', '84', '0', '78', '3', '2023', '18', '35'] 	 79 <= Volume < 90
0.67 	 ['4', '84', '0', '71', '2', '2070', '17', '30'] 	 79 <= Volume < 90 and origin == 2
0.67 	 ['4', '78', '0', '72', '2', '2002', '18', '30'] 	 Volume < 90 and origin == 2
0.67 	 ['5', '179', '0', '74', '1', '2950', '16', '23'] 	 74 <= Model < 75
0.67 	 ['4', '100', '0', '74', '2', '2218', '15', '28'] 	 74 <= Model < 75 and origin == 2
0.67 	 ['4', '103', '0', '73', '2', '2293', '16', '25'] 	 73 <= Model < 75 and origin == 2
0.67 	 ['4', '81', '0', '74', '3', '1976', '19', '30'] 	 74 <= Model < 75 and 79 <= Volume < 90
0.67 	 ['4', '81', '0', '74', '3', '1976', '19', '30'] 	 73 <= Model < 75 and 79 <= Volume < 90
0.67 	 ['4', '77', '0', '74', '3', '1860', '19', '30'] 	 74 <= Model < 75 and Volume < 90
0.67 	 ['4', '68', '0', '73', '2', '1867', '20', '30'] 	 73 <= Model < 75 and Volume < 90 and origin == 2
0.57 	 ['4', '80', '0', '77', '3', '2002', '17', '33'] 	 Volume < 90
0.57 	 ['6', '227', '0', '73', '1', '3238', '15', '19'] 	 73 <= Model < 75
0.57 	 ['4', '74', '0', '74', '3', '1905', '18', '28'] 	 73 <= Model < 75 and Volume < 90
